,delay_status,total_products,total
0,on_time,1.0,79642
1,on_time,2.0,6903
2,long_delay,1.0,4773
3,short_delay,1.0,4448
4,on_time,3.0,1225
5,on_time,4.0,467
6,long_delay,2.0,307
7,short_delay,2.0,306
8,on_time,5.0,180
9,on_time,6.0,175
10,long_delay,3.0,49
11,short_delay,3.0,48
12,on_time,7.0,22
13,short_delay,4.0,21
14,short_delay,5.0,17
15,long_delay,4.0,17
16,short_delay,6.0,12
17,long_delay,6.0,11
18,on_time,8.0,8
19,on_time,10.0,8
20,long_delay,5.0,7
21,on_time,12.0,5
22,on_time,11.0,4
23,on_time,9.0,3
24,on_time,15.0,2
25,on_time,20.0,2
26,on_time,14.0,2
27,long_delay,21.0,1
28,on_time,13.0,1
